no_polisi^jenis^tahun^pool^pemilik_id
B 328 EG^XENIA^2005^non_pool^10
B 1322 TN^KATANA^1997^pool^10
B 1325 TN^KATANA^1997^non_pool^10
B 1326 TN^KATANA^1997^pool^10
B 1328 JH^PANTHER MINIBUS^1994^pool^10
B 2161 EO^KIJANG MB^1997^pool^10
B 2162 EO ^KIJANG MB^1997^non_pool^10
B 2175 PN^KIJANG MB^1997^pool^4
B 2261 PP^PANTHER MINIBUS^1997^pool^4
B 1385 LW^KATANA^1995^pool^10
B 1707 SN^COROLLA SDN^1996^non_pool^10
B 1735 BK^SIDE KICK^1995^non_pool^10
B 7678 YH^FUTURA 150 VAN^2000^non_pool^15
B 1958 GP^KIJANG MB^1997^non_pool^4
B 2080 LP^KIJANG MB^1997^pool^10
B 9631 XO^PS 100 PICK UP 4 BAN^1997^pool^30
B 2846 NO^KATANA^1997^pool^10
B 8432 PJ^KATANA^1995^pool^10
B 2302 NO^KATANA^1997^pool^10
B 2498 NO^KATANA^1997^pool^10
B 2573 NO^KATANA^1997^pool^10
B 2742 MP^KIJANG MB^1997^pool^5
B 2751 NO^KATANA^1997^pool^10
B 2753 LP^KIJANG MB^1997^pool^10
B 6328 MF^GL 100 K^1995^pool^12
B 328 F^KIJANG MB^1997^non_pool^6
B 8349 KS^MERCY SDN^1994^pool^4
B 328 LH^KIJANG MB^1994^non_pool^5
B 1996 Y^KATANA^1995^pool^10
B 1775 Y^KIJANG MB^1995^pool^10
B 8420 WY^FUTURA 150 VAN^2001^non_pool^15
B 8881 VO^KIJANG MB^1995^pool^10
B 1476 ZO^KIJANG MB^1995^pool^10
B 8117 VH^KATANA^1994^pool^10
B 3328 HW^GL MAX^1996^non_pool^10
B 3328 WF^GL MAX^1996^non_pool^10
B 3328 WM^GL 100 K^1995^non_pool^4
B 3896 SR^SUPRA^2000^pool^10
B 3897 SR^SUPRA^2000^pool^10
B 3898 SR^SUPRA^2000^non_pool^10
B 3899 SR^SUPRA^2000^pool^10
B 3900 SR^SUPRA^2000^non_pool^10
B 3901 SR^SUPRA^2000^non_pool^10
BP 1517 DB^KIJANG S KF 80 MB^1997^pool^4
B 5291 WO^GL MAX^1996^non_pool^10
B 5292 WO^GL MAX^1996^pool^10
B 5293 WO^GL MAX^1996^non_pool^10
BM 2213 HH^SCOOTER^1996^pool^4
B 3328 MM^ASTREA GRAND^1996^non_pool^30
B 9328 AP^L 300 DEL VAN^2001^pool^5
B 3328 T^GL 100 K^1996^non_pool^30
B 4328 EG^GL MAX^1996^non_pool^10
B 8754 GK^JEEP^1981^pool^4
B 4328 XN^GL MAX^1996^non_pool^10
B 5289 WO^GL MAX^1996^pool^10
B 5442 NV^GL MAX^1997^non_pool^11
B 5472 NV^GL MAX^1997^pool^11
B 5478 NV^GL MAX^1997^non_pool^10
B 6075 PE^SUPRA^1999^non_pool^5
B 6328 EV^GL 100 K^1995^pool^4
B 9163 WO^KIJANG PU^1997^pool^4
B 8882 VO^FEROSA JEEP^1996^pool^10
B 9135 OV^PANTHER BOX^2000^pool^10
B 9243 RU^PANTHER BOX^2000^pool^12
B 6607 BL^SUPRA^2000^non_pool^10
B 68 PK^KIJANG MB^1995^pool^10
B 6917 RT^SUPRA^2000^pool^10
B 6328 PV^ASTREA GRAND^1993^non_pool^30
B 6328 SW^GL 100 K^1994^pool^4
B 6328 VN^GL MAX^1996^non_pool^10
B 6328 VS^GL 100 K^1995^non_pool^4
B 8076 VO^MERCY SDN^1989^non_pool^4
B 1046 Q^KATANA^1996^pool^10
B 7328 FS^KIJANG MB^1993^pool^10
B 9328 BG^KIJANG PU^1994^pool^10
B 9328 BW^KIJANG PU^1995^pool^10
B 9328 DP^KIJANG PU^1991^non_pool^15
B 9328 EG^KIJANG PU^1996^pool^10
B 9328 MT^FE 304 BOX 4 BAN^2000^pool^4
B 9328 MW^FE 304 BOX 4 BAN^2000^pool^4
B 9355 QV^FE 304 BOX 4 BAN^2000^pool^10
B 9328 XL^KIJANG PU^1995^pool^10
B 9328 YH^CARRY PICK UP^1992^non_pool^15
B 9328 ZB^KIJANG PU^1996^pool^10
B 9362 XE^KIJANG BOX^1996^pool^10
B 9375 BO^CARRY DEL VAN^2000^non_pool^9
B 9887 QV^PS 120 BOX 6 BAN^1996^pool^10
B 9661 BM^KIJANG BOX^1995^pool^10
B 9471 E^CARRY PICK UP^1997^pool^10
B 1326 BG^KATANA^2000^non_pool^10
B 9624 OV^PANTHER BOX^2000^pool^10
B 9848 AB^KIJANG BOX^1997^pool^10
B 8947 NR^KATANA^2000^pool^10
B 5328 GZ^ASTREA LEGENDA^2001^pool^10
L 8109 NV^KIJANG PU^1995^non_pool^4
L 4804 QI^GL 100 K^1993^non_pool^4
B 8817 NR^KATANA^2000^pool^10
B 8116 SM^KATANA^2000^pool^10
B 1035 Q^KATANA^2000^non_pool^10
B 3328 FS^ASTREA LEGENDA^2001^non_pool^10
B 9489 LV^KIJANG BOX^2002^non_pool^10
B 328 SI^FUTURA 150 VAN^2001^pool^10
B 1493 U^KATANA^2000^pool^10
B 8207 LT^VISTO^2001^pool^10
B 328 GU^SOLUNA XLI^2001^non_pool^10
B 328 JN^SOLUNA XLI^2001^pool^10
B 9213 OV^FUSO^1997^pool^10
B 8412 BD^SOLUNA XLI^2001^non_pool^10
B 9087 OV^FUTURA 150 BOX^2001^pool^10
B 9063 OV^FUTURA 150 BOX^2001^pool^10
B 4222 BS^WIN^2001^non_pool^8
B 4221 BL^WIN^2001^non_pool^12
B 9065 OV^FUTURA 150 VAN^2001^pool^10
B 9328 NF^FUTURA 150 VAN^2001^pool^10
B 9396 AP^PANTHER DEL VAN^2001^non_pool^9
B 9732 HE^PANTHER PICK UP^2001^pool^9
B 4596 BL^WIN^2001^pool^4
B 5521 KS^SUPRA^2001^non_pool^10
B 9328 NW^FE 304 BOX 4 BAN^2001^pool^10
B 2531 KR^SOLUNA XLI^2001^non_pool^10
B 328 UR^FUTURA 150 VAN^2001^pool^10
B 328 JU^FUTURA 150 VAN^2001^non_pool^10
B 328 VU^FUTURA 150 VAN^2001^pool^10
B 3328 SA^GL 100 K^1996^pool^10
B 9403 SS^CARRY PICK UP^2001^pool^10
B 6328 MG^MEGA PRO^2001^pool^10
B 6328 HN^MEGA PRO^2001^non_pool^10
B 328 PQ^FUTURA 150 VAN^2001^pool^10
B 328 QL^SOLUNA XLI^2001^non_pool^10
B 8231 EE^SOLUNA XLI^2001^pool^10
B 328 RA^SOLUNA XLI^2001^non_pool^10
B 328 VB^SOLUNA XLI^2001^pool^10
B 328 MQ^SOLUNA XLI^2001^non_pool^10
B 328 NQ^SOLUNA XLI^2001^pool^10
B 328 RO^SOLUNA XLI^2001^pool^10
B 328 TT^SOLUNA XLI^2001^non_pool^10
B 328 LQ^SOLUNA XLI^2001^non_pool^10
B 328 JD^SOLUNA XLI^2001^non_pool^10
BP 8121 DA^PANTHER BOX^2000^non_pool^6
BM 5303 HL^SCOOTER^2000^non_pool^4
B 2328 BF^KIJANG MB^1994^pool^4
B 6190 ZL^MEGA PRO^2001^non_pool^10
B 9573 AN^CARRY BOX^2001^pool^10
